,candidate_id,candidate,party,party_id,votes,gender,is_winner,father,qualification,institution,address,spouse,experience,province,district,constituency,votes_cast,total_voters,education_category,latitude,longitude
0,339933,Khitiz Thebe,Nepal Communist Party (Ekikrit Marxbadi Leninbadi),2598.0,13962,M,True,भुपेन्द्र  थेबे,स्नातक,TU,Taplejung Sirijungha Rural Municipality Madibung,,,Koshi,Taplejung,Taplejung-1,42897,90308,Bachelor's Degree,27.35,87.6667
1,341131,Gajendra Prasad Tumyang Limbu,Nepali Congress,2583.0,11711,M,False,Purna Bahadur Limbu,स्नातक,पाथीभरा वहुमुखी क्याम्पस,Taplejung,Radhika Lingden Tumyang,,Koshi,Taplejung,Taplejung-1,42897,90308,Bachelor's Degree,27.35,87.6667
2,339610,Khel Prasad Buda Chhetri,Nepali Communist Party,2557.0,6775,M,False,शम्सेर बहादुर बुडाक्षेत्री,I.s.c,TU,Taplejung Sirijungha Rural Municipality Chichihang,कुमारी  बुडाक्षेत्री,,Koshi,Taplejung,Taplejung-1,42897,90308,Higher Secondary / Intermediate (10+2 / PCL),27.35,87.6667
3,340005,Santosh Rai,Shram Sanskriti Party,2501.0,5209,M,False,Bal Bahadur Rai,कक्षा ८,गणेश मा.वि. खेवाङ,Taplejung,Sita Rai,,Koshi,Taplejung,Taplejung-1,42897,90308,Basic Education (Up to Grade 8),27.35,87.6667
4,340459,Birendra Shrestha,Rastriya Swatantra Party,2528.0,4155,M,False,Tek Bahadur Shrestha,ईन्जिनेरिङ ग्राजुएड,युनिभर सिटी आर्मानिय,Taplejung,Manolak Wuphashree Shrestha,,Koshi,Taplejung,Taplejung-1,42897,90308,Bachelor's Degree,27.35,87.6667
5,340763,Kirti Man Maden,Ujyalo Nepal Party,2566.0,232,M,False,Narayan Prasad Maden,SLC,भानु जन मा.वि.,Taplejung,Nita Maden,,Koshi,Taplejung,Taplejung-1,42897,90308,Secondary Education (Grade 9-10 / SLC / SEE),27.35,87.6667
6,339429,"Muksam Labung, Limbu",Sanghiya Loktantrik Rastriya Manch,2550.0,221,M,False,बरधोज  लिम्बु,SEE,सरस्वती मा.वि. ,"Setoba, Taplejung Paktanglung rural municipality",,,Koshi,Taplejung,Taplejung-1,42897,90308,Secondary Education (Grade 9-10 / SLC / SEE),27.35,87.6667
7,340160,Indra Prasad Thapa,Rastriya Prajatantra Party,2604.0,185,M,False,Narjung Thapa,आई.ए.,पाथीभरा वहुमुखी क्याम्पस,Kailali,"Ishwara, Punyawati Devi, Prasai, Adhikari (Thapa)",,Koshi,Taplejung,Taplejung-1,42897,90308,Higher Secondary / Intermediate (10+2 / PCL),27.35,87.6667
8,340649,Narpati Paudel,Nepal Communist Party (Maoist),2526.0,155,M,False,Dhurba Paudel,SLC,जनता मावि हाङदेवा,Taplejung,Bimala Khatiwada,,Koshi,Taplejung,Taplejung-1,42897,90308,Secondary Education (Grade 9-10 / SLC / SEE),27.35,87.6667
9,340108,Arun Subba (Lechervo),Janata Samajbadi Party (Ekal Chunab Chinha),2531.0,141,M,False,हिमाल प्रसाद लिम्बु,एस.एल.सी,सिवा माद्यमिक विद्यालय,Taplejung Fungling Municipality,धनिका  चङवाङ,,Koshi,Taplejung,Taplejung-1,42897,90308,Secondary Education (Grade 9-10 / SLC / SEE),27.35,87.6667
